The new theme park ride is supposed to be incredible and I'm counting down the days until it opens.,anticipation
"That food is gross, I won't eat it.",disgust
This filthy dumpster is a breeding ground for disease,disgust
I wish I could just disappear and make this all go away.,fear
"I'm not really against the new law, I just don't care.",neutral
I wish I could be more like someone who is confident in themselves.,sadness
I feel like I'm just waiting for the pain to go away.,sadness
"I'm struggling to find the strength to get out of bed, I miss my dad who died in a car accident.",sadness
I know you'll be there for me when I need someone to talk to.,trust
"You're such a selfish person, always thinking only about yourself.",anger
"I've been working on this project for months, I'm really proud of what we've accomplished and I'm excited to present it to our team.",anticipation
My friend is getting married soon and I'm thrilled to be part of the wedding party.,anticipation
"That movie was disgusting, I won't watch it again.",disgust
I'm going to die in this elevator.,fear
My favorite sports team won the championship.,joy
I'm struggling to cope with my parents' divorce.,sadness
My life is a mess right now.,sadness
"Every minute counts, let's get moving.",anticipation
I'm eagerly waiting for the new smartphone release,anticipation
"This place is filthy, I don't want to stay.",disgust
Can't you ever listen?,anger
My favorite band is going on tour and I've been trying to get tickets for months.,anticipation
My favorite book is probably that one.,neutral
What?! You're telling me that I have to move to another city for work?,surprise
I know you'll support me even when things get tough.,trust
My boss will not support me in my decisions,mistrust
This is ridiculous and I'm not going to stand for it.,anger
Your selfishness is unbelievable.,anger
I've been practicing my lines for the audition all day.,anticipation
I can hardly sleep tonight because I'm so excited for the party tomorrow.,anticipation
I'm so grossed out by that smell.,disgust
This is unbelievable news!,surprise
I feel comfortable sharing my deepest fears and desires with you.,trust
I believe you'll be dishonest with me about your intentions,mistrust
"You're just like your father, always so selfish!",anger
"I've been waiting for my favorite TV show to return for months, it's finally back!",anticipation
That new restaurant downtown is going to be amazing.,anticipation
I aced that test!,joy
I just won tickets to my favorite concert!,joy
I'm not really looking forward to the party this weekend.,neutral
"I think it's just average, that new video game.",neutral
I just got a call from the president.,surprise
I can't be myself around you without judgement,mistrust
I'm sad we're not on the same page,mistrust
"You're always so late, never considering how it affects others.",anger
My best friend is finally coming home from college for the summer and I'm so excited to see him.,anticipation
The way he's treating his dog is disgusting and inhumane.,disgust
"I won't touch that, it's filthy.",disgust
I'm so terrified.,fear
I'm not good enough for anyone.,sadness
I'm just going through the motions now.,sadness
My friend just won the lottery!,surprise
You are the one I turn to when I need help.,trust
You're always so lazy and never take responsibility for your actions!,anger
"You're so selfish, you only think about yourself and never about how your actions affect others.",anger
The surprise party is going to be so much fun!,anticipation
The condition of this street is disgusting.,disgust
"This restaurant's food is disgusting, I won't eat it.",disgust
I'm so afraid I'll never be the same again,fear
"I don't really have a preference between summer and winter, I just take it as it comes.",neutral
I wish I could just go away and forget my troubles.,sadness
I believe you will always be truthful with me.,trust
I know you'll never intentionally hurt me.,trust
I would give them access to my financial information because I know they would use it responsibly.,trust
My family is going on a road trip to visit my grandparents this weekend!,anticipation
I've been preparing for this moment for months.,anticipation
That person is so disgusting.,disgust
I am disgusted by the way he treated me.,disgust
My best friend moved away without saying goodbye and I feel lost without them.,sadness
I just got a letter saying my mom has terminal cancer.,sadness
Can't you just leave me alone.,anger
I'm counting down the minutes until my favorite musician comes to town.,anticipation
I'm still trying to deal with the grief of losing my grandma.,sadness
That's incredible.,surprise
Can't you just admit you're wrong?,anger
"You're always late, it's so frustrating!",anger
"I'm really scared of thunderstorms, they're so loud!",fear
